date,ABB,ACC,ADANIPORTS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BANKBARODA,BHARTIARTL,BHEL,BOSCHLTD,BPCL,BRITANNIA,CAIRN,CIPLA,COALINDIA,DIVISLAB,DLF,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,IBULHSGFIN,ICICIBANK,IDEA,IDFC,INDUSINDBK,INDUSTOWER,INFY,IOC,ITC,JINDALSTEL,JPASSOCIAT,JSWSTEEL,KOTAKBANK,LT,LUPIN,M&M,MARUTI,MCDOWELL-N,NESTLEIND,NMDC,NTPC,ONGC,PNB,POWERGRID,RANBAXY,RCOM,RELCAPITAL,RELIANCE,RELINFRA,RPOWER,SAIL,SBILIFE,SBIN,SHREECEM,SIEMENS,STER,SUNPHARMA,SUZLON,TATAMOTORS,TATAMTRDVR,TATAPOWER,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UNITECH,UPL,VEDL,WIPRO,YESBANK,ZEEL
2009-12-31,157.187934834296,181.98450605609793,168.34796550582146,154.7981117283111,202.06668229207975,542.1815865479366,185.2971317696833,431.4430137124573,208.86730382027156,428.64280205543963,183.09007582536293,93.7896930557906,171.89657365249016,151.9244433283368,177.23880632640186,126.32007827191009,163.7115011420057,176.1525280303682,,101.33944136805113,120.74289491326925,246.95932103558283,278.49418408469313,206.0552875375355,206.0905998564029,313.4688198502771,175.20562736037832,168.68356761558306,,219.9685903176789,290.25833095996813,149.06048822673614,109.8382818920425,,188.88287773656947,107.70670902221538,217.43772091337564,351.5702072757587,,232.6995167476182,143.8172042516378,146.3030820539281,449.82041413214046,253.29181580283492,428.43601980100885,206.34152138722382,204.77771640769774,227.47855221023494,379.6882454856501,287.36149378403775,137.18237073376415,,226.64968148263424,130.37408252408272,177.94595698073238,175.64189199909163,132.22188988127596,206.97487845286187,68.8687298630055,152.06559468738592,170.57134446363816,183.10855884674254,125.58062653676383,294.3799277737453,,173.21245217389324,408.550029358201,196.4786517907496,315.8568539117312,145.54013628944588,139.96901646887673,456.0634511355327,331.8697663838277,181.1812751216151,279.2284514795982,307.12736610933433,361.85875640862616,150.28058249202957,238.30713986125912,177.5686780535637,150.7854942192794,450.6201564551615,282.0013807547861,326.92046338238447,188.02851055490717
2010-01-04,156.8384919082452,190.56956179868624,169.35355217930268,157.54238720405309,201.09485309106344,551.1979801253566,185.8401644705332,425.8460217109513,217.23422494485382,445.61590611091145,183.71559702744779,92.49656137887445,173.52830462823158,155.93656156324414,181.48320924538092,125.42770725848884,165.65414028675949,177.4697011603091,,100.44870709946866,121.88036035788762,246.00129816243185,287.20919671828966,206.93286546806172,211.84162935274338,313.28950126575694,175.11258336073482,169.0253566218557,,219.35979182903168,295.03056512556356,152.66409186153476,109.7982278248146,,189.46443036212986,107.98752023067075,219.12002438357004,350.0908406256864,,233.7261190672498,147.93010749887992,147.9629225602049,455.580225990415,265.1957304901384,432.51184904884525,210.4248376895721,206.46252240733182,225.2554218353328,396.89836167937784,285.7697872628697,143.438887858983,,228.6284501532133,128.27098599648835,179.37202655673337,179.38063078025863,134.92822960442152,206.5976410719966,70.00772836803478,157.56879107832762,168.21691595802247,187.03628577466472,126.3575502966694,301.5627235333029,,174.90591775485638,414.9775529088296,197.33950512401347,319.9907426164841,145.40851735827277,139.19442317279143,476.18161123625146,338.2737387882298,182.2180329694726,286.4798077354693,307.6991325345981,373.4676835937224,150.07856225863313,251.8363916851258,178.65022685307187,151.3580973084413,453.96899377165676,287.7229465311147,329.77566378747196,184.67519768778925
2010-01-05,156.4403387327556,188.09650057561674,175.19553150107382,156.3537837720949,201.7345382318844,544.8297583578167,189.72336123792385,427.8123657162016,217.72089152048437,442.7391087477907,189.03252775771648,93.95992810974394,174.19354881034502,154.17219846911286,178.731343591401,125.61774929999696,171.6586614038707,174.28745521257548,,100.29132175486495,123.50264718810624,253.60531538525058,277.62177404127505,208.7319000693309,218.83534369504093,320.3426990255259,175.7080650827709,169.17488929825052,,219.9297684151677,316.15065974443223,152.76705203636027,109.44274793716293,,191.2631861491516,111.79407254370044,228.56680531976318,349.7274872937453,,234.51169312133325,148.49462358210639,149.42875572290743,465.26480783790845,281.49466300321535,479.8578208540784,212.50774141263196,206.8283834943136,221.96976583625704,404.19914113895476,279.2126700404096,145.27193758611043,,227.82165601866083,126.85698924310422,182.51188132560526,182.15090111251314,135.3468899075826,205.15691548097448,72.46471078186553,157.36665348198642,167.46513908464976,190.38021139137905,129.9198281670804,310.02150485337273,,174.97434060007024,432.45543887974105,198.28199110158457,335.5699495075296,149.77219032124816,143.22230848188997,467.8793719874438,337.5158723334911,184.87276129639173,293.4237499691174,307.78785481017223,378.24783017746927,153.1537585946429,257.0503675116969,181.4622535984309,158.77257395185805,457.30232693392924,292.2631363667342,334.6023121774446,186.68394545535247
2010-01-06,156.49116682457122,189.3178899662879,183.8786919166825,157.31515409342143,201.13175805419652,539.5964669417792,186.53688586022574,421.19829926850645,212.5796961398289,449.06806297912294,190.17931683835957,92.96470783980301,173.54085638295265,151.67730609652546,176.04944063864778,124.46923476015404,173.74964757453753,181.3326709145725,,102.98696493886406,126.54583355606037,260.1101517347482,275.3044348325792,207.3497149988138,227.89538274253243,310.67941959760526,176.55290477700996,169.287038885039,,217.11341377977362,308.65706869752717,148.90604826937079,110.06358611168379,,192.72382982197826,113.72854990838191,233.29019572196424,358.0586577254882,,231.09266084701426,148.27956980737457,149.77365761342668,463.3187489135482,276.5836308274076,485.8293846336589,215.08559270829005,204.54098256747085,226.71843784287526,413.9017018319047,269.2283293015749,150.70522877281113,,228.51804667619268,126.24843368516096,184.81360765049357,181.29504524918778,136.3038277447675,210.15330371808747,72.64776410516573,159.0241818080134,170.17153599639585,185.82249637519527,128.70485171321718,302.4802863115993,,176.02634197759818,448.1353074205254,200.3228073053057,334.01202876867654,151.71610035391294,144.53911715841951,468.594546194219,342.32832484833284,193.4495756976902,290.2350820950143,300.8280755045745,380.1132531574513,155.62289430148024,257.36185189323436,183.0845767735696,155.9536046892154,452.4186060614384,286.35625667914877,329.91162542054116,190.8148379557751
2010-01-07,160.30327240000426,190.51656754568288,181.69194013220152,157.10540060706856,199.07738480160313,528.4363158947095,187.85860714179168,413.8137217990515,210.92003840905394,446.3351057005859,191.3261059162469,93.69148054632934,172.3421617906393,154.13604057986464,172.6445898813697,123.95694764439753,178.6239058603255,179.83286458545197,,106.29540656337603,125.19206318581932,256.0813646395331,271.4558343806254,212.54936387777144,222.70067134969656,304.0446316213662,173.26658961465878,169.72495601441204,,211.7083421253738,316.05205994362376,148.59716798626417,109.83828198862406,,190.89802515897506,113.26053122285664,232.64315603252155,349.96107130830325,,225.8971600785516,145.96774184827123,149.320973772652,461.0135180612975,273.73665566861035,475.4502378869333,217.5087728060128,203.55715414556715,222.31304331062725,406.01240634313564,267.6901422416663,148.4715423329464,,224.61146485506572,126.27528167706848,185.0137578305613,178.8063064565318,137.51495213490173,203.53961070712973,73.485741534566,157.02807290727648,172.99411646873347,186.1494989997715,129.1842301798732,294.25089572449997,,175.04276345910947,476.3435128292907,207.7142725756568,335.1534754635741,149.4077072680666,142.44771519603427,452.58086411878696,333.80232605688116,194.2507066844809,293.7371918134754,292.4585959259382,371.7521607848723,159.50617152460106,255.02978265665308,181.57040855350303,154.47070939013648,447.33333451735416,281.26012528877726,324.3371862150422,190.92823501604576
2010-01-08,163.10940554946373,190.2667378361963,181.48443812520577,157.24523635361928,202.3619217625809,532.9760383034768,190.30737771257563,406.9654200293333,211.52525194542483,454.3901381162548,192.09758213743652,92.4540026280501,173.38395912876533,166.0309232158026,175.55970189581237,124.23787920808866,177.63492584708095,179.3347739474293,,103.60980921654944,130.33862840489175,257.18980181487666,275.1135950667614,213.7560333977254,229.59323686220864,296.9515850518334,170.2482412673245,169.9492550116832,,210.68485487032774,312.71938389082385,150.3474897186565,110.31392414721164,,188.22017829431428,112.35569499086733,230.66968461980682,348.7412424486571,,220.45170392023675,148.467741872584,149.64431938209825,455.1296283470382,279.41281215158654,472.7488161672031,216.15797872678192,204.8453543999339,222.12505806896024,406.044237715793,263.9794640526449,146.6439807297364,,224.450106000217,127.8503666798707,183.63772577727434,179.06531543771786,137.87380386570052,206.87454921977698,72.26538601759542,160.40629760999175,172.5430503984941,185.87053070683297,129.58922235393442,290.9103938929812,,174.512486285845,469.44926026827227,212.89423511114953,331.51318554546447,151.9287155066828,143.60960522693625,455.06842641226336,332.2108063027885,194.15645604734686,293.1283912285112,286.4747632016769,381.54563167927483,158.02469000693728,258.144625376389,186.8483665492323,153.51637081103908,443.3798463455566,277.04423486160704,322.7736241024342,188.07710921946997
2010-01-11,168.16044533879167,190.89257384522443,187.66161287512267,157.54238723686856,202.01747586941502,529.6342982634275,196.57786954812258,410.4789502856407,212.46114923011191,465.8973275372757,194.64136867151842,93.56380420369275,171.44470965387427,165.41518641298495,175.09328400892005,124.20482845355872,174.15230359784633,179.9656887462974,,103.11421272695334,133.53099053352318,258.4926204174317,273.3914940070815,215.57700757961052,234.195505387388,299.9203038842975,170.2482412673245,169.26567696061093,,214.67998454970382,309.8205474403336,148.98326832026973,110.37901200999268,,187.24641574352344,115.13260610354973,229.69912485221232,349.2343646579269,,222.72808314452791,149.9193547828561,149.68743206015654,456.50754239945144,285.1067624378965,483.1279630055378,216.99320256484125,204.7438971588892,218.2672729130652,407.20536384818627,267.95773911178605,148.06541755236356,100.17207269999999,231.96602945608421,128.87954154773462,183.76281961243612,184.09909930872632,138.53169863946113,208.4758012606443,72.76573174966546,160.61854208998778,169.15663715307988,185.47886655497393,131.05215314124965,294.8673832526489,,173.07560631776295,480.46628471091503,217.24302884517854,330.9116121050913,151.89834191787872,146.78543786945775,455.25499354545025,334.4465126072505,194.10933078064795,293.15251569510934,292.369873536964,379.13057526698606,156.74522872404933,258.4696524346095,195.1546611693613,152.38584662772703,454.0775206344296,274.2876909911213,328.75594918438355,196.07970106820864
2010-01-12,163.77652405334638,187.3242997098944,190.47087062584876,153.53959059280535,207.29487798616736,525.4098344699617,196.55737768126727,418.87443808129035,207.3573896565696,448.3488639567123,192.55629772907858,91.65520738939813,168.48876643718685,162.53519536979292,175.00000043546504,125.26245343425192,172.5558074600597,178.5710349232108,,102.32058862053286,128.3508607258456,260.50817087194275,261.55488925517903,213.18560773856677,232.8588968363939,310.5598734920084,167.60206910784515,167.98396814096876,,210.62662206606015,302.87911566840535,146.04890533914536,108.73679505613023,,181.4985119577053,108.92355773251671,226.94920574863372,342.97949825993703,,231.4318859232307,149.48924724801634,145.87195465160556,452.9223535676042,278.8256235376701,476.9668253445134,210.45577196956296,204.9806308567719,216.8287767759826,418.80071982617704,265.42448781488457,148.005047579992,100.32833822842188,227.719744916326,126.91068526442012,179.89742070676647,179.49324342343672,136.54306225232182,204.75961211270825,70.1094246061682,157.16956921362862,169.60086903983589,180.96733832908575,127.20059510019198,285.0609315090342,,168.191925184346,461.8993646971723,211.4248473364638,320.70029028745256,151.6249795858296,142.68009312964676,453.0472818007708,332.5897394819343,195.303173044308,282.7787962198951,307.0485012646615,381.71218757662916,156.34118827216486,256.65762664006934,190.95825185631915,146.61576873603588,443.76744305617615,287.72294639765255,323.18151005154937,197.9102535100141
2010-01-13,167.88300879471495,197.37805088529004,197.66959375602852,160.6537314469925,208.93099572071287,519.5460263844907,194.86680399009305,419.8360359814349,205.14867224015435,424.75912567438223,191.65971728814876,90.56177451352372,166.5871723966651,161.13943185617381,175.6296646120319,124.80800526159099,170.0904217102041,179.72771219481962,,104.28288294400035,129.65241957134964,264.54621424568717,258.3242459144441,212.1325143262022,235.77776098664293,319.0874687350533,166.5711412386697,167.39651829332567,,208.19319288337027,308.8345483654649,147.59330693714833,108.88199108109511,,181.05220421282507,109.73479021868302,225.94629405961152,336.2315097077181,,240.07319984141003,152.2043010038735,145.22526357835966,448.8604453520474,282.52669129226695,482.7014222879054,207.88823217619995,204.24275962010924,215.89702362568124,405.233039793524,263.16874436170434,144.2840662952478,99.78728014172663,227.66029685515767,126.91068526442012,180.56041789919277,178.26576595477204,138.59150721541295,206.2966536551667,70.15010314596607,161.27548935784426,170.26721677742128,181.98160090313334,127.68823867920258,294.25089571533766,,166.10502820109397,466.58443397206275,215.3395037598329,315.5020794863015,149.3064620084854,144.07436114486845,452.26991881010383,332.66552604069057,195.39742381667796,288.96927283909827,322.81151373312525,396.86874981376536,155.12906706609016,269.11970622916425,191.39087140410643,149.31728098114925,443.3178307521276,296.7569974912966,322.501700330608,204.1632909051236
2010-01-14,174.98411422773327,199.22527633809827,194.42937025249805,159.4826075147141,211.56354590630747,540.0378298315492,199.7028695863547,420.230537431661,205.5729457482284,436.12247506982555,193.8698924912015,90.46356198973751,170.02635907341755,160.29902494099224,174.51026154639945,126.3035530045355,170.3800515102018,179.1798124439214,,103.87100205538059,128.13082642475305,266.45300383507185,258.42875331304697,214.3483983862552,236.65920011320372,312.45268076403306,165.3280729483727,166.8517919439752,,207.6232163416109,308.3021089567155,149.62676900048905,106.20838170419779,,179.9026235621514,111.1388464205919,227.5962454070839,337.21775405893806,,240.62667251874004,153.19892460464348,144.77257987610585,444.70711137299696,284.16370207894545,499.8104271385775,210.80635970703378,203.65553717707024,214.90805743675136,411.5794693978427,260.60774220064167,144.08649206333894,102.94826975521454,228.28025431808442,127.79667058688891,186.06454584305624,178.89639661095867,141.49222496678442,206.2565219419445,73.12370274293053,158.2434253270094,175.44422589751662,179.65009030255376,129.18423012523272,293.3476699336204,,164.69380685790867,477.57923347157805,222.22262018014183,319.9444670787484,150.44040950042125,141.28582508088166,450.6530031961268,331.5666193672303,191.01476589666842,292.7908521725742,319.242901853281,394.82011570843923,160.2020187014612,272.1424579621711,190.41747752818665,146.79195425836292,459.612404536493,307.343052284838,330.59143521474,205.15146512020942
